species,female_locomotion_court.cobb1986.behavior,male_follow_court.cobb1986.behavior,wing_extension.cobb1986.behavior,row.cobb1986.behavior,scissor.cobb1986.behavior,vibrate.cobb1986.behavior,lick.cobb1986.behavior,attempted_cop.cobb1986.behavior,female_beh.cobb1986.behavior,hg1_male.tracy2020.morphology,hg1_female.tracy2020.morphology,hg2_male.tracy2020.morphology,hg2_female.tracy2020.morphology,hg3_male.tracy2020.morphology,hg3_female.tracy2020.morphology,hg4_male.tracy2020.morphology,hg4_female.tracy2020.morphology,wing_size_female.huey2006.morphology,wing_size_male.huey2006.morphology,thorax_size_female.huey2006.morphology,thorax_size_male.huey2006.morphology,food_preference.markow2015..1.fruit.2.cacti.3.slime_flux.4.vegetable..life_history,dessication_resistance_females.matzkin2009.physiology,dessication_resistance_males.matzkin2009.physiology,starvation_resistance_females.matzkin2009.physiology,starvation_resistance_males.matzkin2009.physiology,segment_1.kalay2019.morphology,segment_2.kalay2019.morphology,segment_3.kalay2019.morphology,segment_4.kalay2019.morphology,segment_5.kalay2019.morphology,segment_6.kalay2019.morphology,segment_7.kalay2019.morphology,segment_8.kalay2019.morphology,female_wing_display.merkow2005.behavior,number_coursthip_songs.merkow2005.behavior,thermal_tolerance_female.kellerman2012.physiology,thermal_tolerance_male.kellerman2012.physiology,male_thorax.lupold2016.morphology,sperm_length.lupold2016.morphology,female_thorax.lupold2016.morphology,egg_volume.lupold2016.morphology,ovariole_number.lupold2016.morphology,genome_size_female.hjelmen2019.molecular,genome_size_male.hjelmen2019.molecular,genome_size_sex_difference.hjelmen2019.molecular,front_leg.jezovitz2020.morphology,middle_leg.jezovitz2020.morphology,rear_leg.jezovitz2020.morphology,total_leg.jezovitz2020.morphology,body_size.jezovitz2020.morphology,ovariole_number.green2012.morphology,lifespan_male.ma2018.life_history,lifespan_female.ma2018.life_history,color_spot.prudhomme2006.morphology,trichrome_reduction.fuqua2020.morphology,male_pigment.signor2016.morphology,wing_display.yeh2006.behavior,pulse_song.ding2019.behavior,sine_song.ding2019.behavior,mates_in_dark.jezovit2017..matesindark1..middle2..doesnot3..behavior,environment.jezovit2017..cosmopolitan1..temperate2..tropical3..arid4..life_history,chc_dimorphism.jezovit2017..monomorphic1..dimorphic2..morphology,rna_exp_PC1.ma2018:molecular,rna_exp_PC2.ma2018:molecular,rna_exp_PC3.ma2018:molecular,markov_pc1.york2021:behavior,markov_pc2.york2021:behavior,occupancy_pc1.york2021:behavior,occupancy_pc2.york2021:behavior,behavior_cl_1.york2021:behavior,behavior_cl_2.york2021:behavior,behavior_cl_3.york2021:behavior,behavior_cl_4.york2021:behavior,behavior_cl_5.york2021behavior,behavior_cl_6.york2021:behavior,behavior_cl_7.york2021:behavior,behavior_space_percentage.york2021:behavior
D_seriema,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D_repleta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,38.93,37.83,NA,NA,NA,NA,NA,187.5,165.5,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D_hydei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.12,21.44,71.44,73.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,40.12,40.22,1.33,23.32,1.43,8,51.75,207.4,199.5,15.8,2177.33,2671,2772.14,2540.16,856.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D_pseudotalamancana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,191.6,194.9,-3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D_americana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.38,5.22,1.29,8.2,31.6,NA,NA,NA,2042.64,2501.99,2657.44,2400.69,889.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D_novamexicana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,249.3,252.7,-6.7,1930.75,2380.17,2529.14,2280.02,860.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D_lummei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1.34,7.79,1.42,9.7,36,312.7,308.5,8.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D_virilis,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.229294537,0.231867522,0.194768373,0.161459347,0.010226939,0.006611409,0.010796175,0.014145181,NA,NA,NA,NA,3,NA,NA,NA,NA,29.96584071,36.86300885,44.8639823,52.72654867,60.51380531,68.67681416,76.61221239,84.19566372,1,NA,40.64,40.55,1.27,5.7,1.25,8.5,41.21,325.4,338.2,-25.6,2172.87,2637.23,2910.11,2573.4,866.36,NA,52.79,62.28,NA,0,NA,NA,NA,NA,1,2,2,12.76045299,27.62357127,-17.29404641,0.012033001,-0.07087558,-2.776344476,1.657751626,0.093841187,0.14861785,0.260182675,0.074390939,0.134364694,0.105884283,0.182718373,0.986787204
D_montana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.52,39.41,1.41,3.34,1.32,9.8,28.8,240.6,242.8,-4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D_robusta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,38.64,38.7,NA,NA,NA,NA,NA,241.6,249.6,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
